Octane number
Material 1 amount,Condition;Octane number
2 82
55.33,1.66219;92.19
59.13,1.58399;92.74
57.39,1.61731;91.88
56.43,1.66228;92.8
55.98,1.63195;92.56
56.16,1.68034;92.61
54.85,1.58206;92.33
52.83,1.54998;92.22
54.52,1.5623;91.56
54.12,1.57818;92.17
51.72,1.60401;92.75
51.29,1.59594;92.89
53.22,1.54814;92.79
54.76,1.63134;92.55
53.34,1.60228;92.42
54.84,1.54949;92.43
54.03,1.57841;92.77
51.44,1.61183;92.6
53.54,1.51081;92.3
57.88,1.56443;92.3
60.93,1.53995;92.48
59.59,1.56949;91.61
61.42,1.4133;91.3
56.6,1.54777;91.37
59.94,1.65523;91.25
58.3,1.29994;90.76
58.25,1.19975;90.9
55.53,1.20817;90.43
59.79,1.30621;90.83
57.51,1.29842;92.18
62.82,1.40483;91.73
62.57,1.45056;91.1
60.23,1.54357;91.74
65.08,1.6894;91.46
65.58,1.74695;91.44
65.64,1.74919;91.56
65.28,1.78053;91.9
65.03,1.78104;91.61
67.84,1.72387;92.09
73.74,1.73496;90.64
72.66,1.71966;91.09
71.31,1.60325;90.51
72.3,1.66783;90.24
68.81,1.69836;91.01
66.61,1.77967;91.9
63.66,1.81271;91.92
63.85,1.81485;92.16
67.25,1.72526;91.36
67.19,1.86782;92.16
62.34,2.00677;92.68
62.98,1.95366;92.88
69.89,1.89387;92.59
73.13,1.81651;91.35
65.09,1.45939;90.29
64.71,1.38934;90.71
64.05,1.33945;90.41
63.97,1.42094;90.43
70.48,1.5768;89.87
71.11,1.41229;89.98
69.05,1.54605;90
71.99,1.55182;89.66
72.03,1.6039;90.08
69.9,1.67265;90.67
72.16,1.55242;90.59
70.97,1.45728;91.06
70.55,1.26174;90.69
69.73,1.28802;91.11
69.93,1.36399;90.32
70.6,1.4221;90.36
75.54,1.67219;90.57
49.14,2.1714;94.17
49.1,2.31909;94.39
44.66,2.14314;93.42
44.64,2.08081;94.65
4.23,2.1707;97.61
5.53,1.99418;97.08
17.11,1.61437;95.12
67.6,1.64758;91.86
64.81,1.69592;91.61
63.13,1.66118;92.17
63.48,1.48216;91.56
62.25,1.49734;92.16
